"Source","Target","Type"
"Mr Jonathan Lord","Ind 1, C Mkt 2.0 (No)","Undirected"
"Johnny Mercer","Ind 1, C Mkt 2.0 (No)","Undirected"
"John Lamont","Ind 1, C Mkt 2.0 (No)","Undirected"
"Sir Patrick McLoughlin","Ind 1, C Mkt 2.0 (No)","Undirected"
"Tom Pursglove","Ind 1, C Mkt 2.0 (No)","Undirected"
"Louise Haigh","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Joan Ryan","Ind 1, C Mkt 2.0 (No)","Undirected"
"Dr Dan Poulter","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mary Robinson","Ind 1, C Mkt 2.0 (No)","Undirected"
"Lady Hermon","Ind 1, C Mkt 2.0 (No)","Undirected"
"Andrew Jones","Ind 1, C Mkt 2.0 (No)","Undirected"
"Andrea Jenkyns","Ind 1, C Mkt 2.0 (No)","Undirected"
"Lee Rowley","Ind 1, C Mkt 2.0 (No)","Undirected"
"Dr Matthew Offord","Ind 1, C Mkt 2.0 (No)","Undirected"
"Kerry McCarthy","Ind 1, C Mkt 2.0 (No)","Undirected"
"Huw Merriman","Ind 1, C Mkt 2.0 (No)","Undirected"
"Carolyn Harris","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Christian Matheson","Ind 1, C Mkt 2.0 (No)","Undirected"
"James Morris","Ind 1, C Mkt 2.0 (No)","Undirected"
"Rachel Maclean","Ind 1, C Mkt 2.0 (No)","Undirected"
"Stephen McPartland","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mark Menzies","Ind 1, C Mkt 2.0 (No)","Undirected"
"Rachael Maskell","Ind 1, C Mkt 2.0 (No)","Undirected"
"Craig Tracey","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mr Robin Walker","Ind 1, C Mkt 2.0 (No)","Undirected"
"Heidi Allen","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mr Ronnie Campbell","Ind 1, C Mkt 2.0 (No)","Undirected"
"Paula Sherriff","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Guto Bebb","Ind 1, C Mkt 2.0 (No)","Undirected"
"Sir Peter Bottomley","Ind 1, C Mkt 2.0 (No)","Undirected"
"Tonia Antoniazzi","Ind 1, C Mkt 2.0 (No)","Undirected"
"Dr Phillip Lee","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mrs Sheryll Murray","Ind 1, C Mkt 2.0 (No)","Undirected"
"Tim Loughton","Ind 1, C Mkt 2.0 (No)","Undirected"
"Dr Andrew Murrison","Ind 1, C Mkt 2.0 (No)","Undirected"
"David Morris","Ind 1, C Mkt 2.0 (No)","Undirected"
"Scott Mann","Ind 1, C Mkt 2.0 (No)","Undirected"
"Nigel Mills","Ind 1, C Mkt 2.0 (No)","Undirected"
"John Stevenson","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mrs Anne Main","Ind 1, C Mkt 2.0 (No)","Undirected"
"Grahame Morris","Ind 1, C Mkt 2.0 (No)","Undirected"
"Dr Julian Lewis","Ind 1, C Mkt 2.0 (No)","Undirected"
"Neil O'Brien","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mr Laurence Robertson","Ind 1, C Mkt 2.0 (No)","Undirected"
"Kate Osamor","Ind 1, C Mkt 2.0 (No)","Undirected"
"John Redwood","Ind 1, C Mkt 2.0 (No)","Undirected"
"Chris Philp","Ind 1, C Mkt 2.0 (No)","Undirected"
"Julian Sturdy","Ind 1, C Mkt 2.0 (No)","Undirected"
"Derek Thomas","Ind 1, C Mkt 2.0 (No)","Undirected"
"Peter Dowd","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Stephen Timms","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Theresa Villiers","Ind 1, C Mkt 2.0 (No)","Undirected"
"Bill Wiggin","Ind 1, C Mkt 2.0 (No)","Undirected"
"Derek Twigg","Ind 1, C Mkt 2.0 (No)","Undirected"
"Matt Warman","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mr William Wragg","Ind 1, C Mkt 2.0 (No)","Undirected"
"Chris Williamson","Ind 1, C Mkt 2.0 (No)","Undirected"
"Ruth Smeeth","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mr David Davis","Ind 1, C Mkt 2.0 (No)","Undirected"
"Emma Dent Coad","Ind 1, C Mkt 2.0 (No)","Undirected"
"David T. C. Davies","Ind 1, C Mkt 2.0 (No)","Undirected"
"Keir Starmer","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Sir Roger Gale","Ind 1, C Mkt 2.0 (No)","Undirected"
"Sir Greg Knight","Ind 1, C Mkt 2.0 (No)","Undirected"
"James Heappey","Ind 1, C Mkt 2.0 (No)","Undirected"
"John Mann","Ind 1, C Mkt 2.0 (No)","Undirected"
"Trudy Harrison","Ind 1, C Mkt 2.0 (No)","Undirected"
"John Glen","Ind 1, C Mkt 2.0 (No)","Undirected"
"John Howell","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mr Mark Harper","Ind 1, C Mkt 2.0 (No)","Undirected"
"Stephen Kerr","Ind 1, C Mkt 2.0 (No)","Undirected"
"Gordon Henderson","Ind 1, C Mkt 2.0 (No)","Undirected"
"Phil Wilson","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"George Hollingbery","Ind 1, C Mkt 2.0 (No)","Undirected"
"Kate Hoey","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mr Philip Dunne","Ind 1, C Mkt 2.0 (No)","Undirected"
"Richard Drax","Ind 1, C Mkt 2.0 (No)","Undirected"
"Caroline Dinenage","Ind 1, C Mkt 2.0 (No)","Undirected"
"Chris Davies","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mr Iain Duncan Smith","Ind 1, C Mkt 2.0 (No)","Undirected"
"Glyn Davies","Ind 1, C Mkt 2.0 (No)","Undirected"
"Jack Brereton","Ind 1, C Mkt 2.0 (No)","Undirected"
"Rosie Cooper","Ind 1, C Mkt 2.0 (No)","Undirected"
"Sir Nicholas Soames","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Sir Geoffrey Clifton-Brown","Ind 1, C Mkt 2.0 (No)","Undirected"
"Harriett Baldwin","Ind 1, C Mkt 2.0 (No)","Undirected"
"Conor Burns","Ind 1, C Mkt 2.0 (No)","Undirected"
"Sir Graham Brady","Ind 1, C Mkt 2.0 (No)","Undirected"
"Sir Henry Bellingham","Ind 1, C Mkt 2.0 (No)","Undirected"
"Alex Burghart","Ind 1, C Mkt 2.0 (No)","Undirected"
"Ruth Cadbury","Ind 1, C Mkt 2.0 (No)","Undirected"
"Ben Bradley","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mr Simon Clarke","Ind 1, C Mkt 2.0 (No)","Undirected"
"Crispin Blunt","Ind 1, C Mkt 2.0 (No)","Undirected"
"David Tredinnick","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mr Richard Bacon","Ind 1, C Mkt 2.0 (No)","Undirected"
"Fiona Bruce","Ind 1, C Mkt 2.0 (No)","Undirected"
"Peter Aldous","Ind 1, C Mkt 2.0 (No)","Undirected"
"Colin Clark","Ind 1, C Mkt 2.0 (No)","Undirected"
"Maria Caulfield","Ind 1, C Mkt 2.0 (No)","Undirected"
"James Cleverly","Ind 1, C Mkt 2.0 (No)","Undirected"
"Sir Christopher Chope","Ind 1, C Mkt 2.0 (No)","Undirected"
"Ann Coffey","Ind 1, C Mkt 2.0 (No)","Undirected"
"Craig Whittaker","Ind 1, C Mkt 2.0 (No)","Undirected"
"Iain Stewart","Ind 1, C Mkt 2.0 (No)","Undirected"
"Lesley Laird","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Andrew Stephenson","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mel Stride","Ind 1, C Mkt 2.0 (No)","Undirected"
"Andrew Lewer","Ind 1, C Mkt 2.0 (No)","Undirected"
"Siobhain McDonagh","Ind 1, C Mkt 2.0 (No)","Undirected"
"Julia Lopez","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mr Owen Paterson","Ind 1, C Mkt 2.0 (No)","Undirected"
"Dominic Raab","Ind 1, C Mkt 2.0 (No)","Undirected"
"Dr Paul Williams","Ind 1, C Mkt 2.0 (No)","Undirected"
"Jesse Norman","Ind 1, C Mkt 2.0 (No)","Undirected"
"Jeremy Quin","Ind 1, C Mkt 2.0 (No)","Undirected"
"Sandy Martin","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Anna McMorrin","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mr Robert Goodwill","Ind 1, C Mkt 2.0 (No)","Undirected"
"Luke Hall","Ind 1, C Mkt 2.0 (No)","Undirected"
"Karen Lee","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mr Chris Leslie","Ind 1, C Mkt 2.0 (No)","Undirected"
"Damien Moore","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mrs Pauline Latham","Ind 1, C Mkt 2.0 (No)","Undirected"
"Stephen Metcalfe","Ind 1, C Mkt 2.0 (No)","Undirected"
"Mrs Madeleine Moon","Ind 1, C Mkt 2.0 (No)","Undirected"
"Bob Stewart","Ind 1, C Mkt 2.0 (No)","Undirected"
"Andy McDonald","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Michael Tomlinson","Ind 1, C Mkt 2.0 (No)","Undirected"
"Giles Watling","Ind 1, C Mkt 2.0 (No)","Undirected"
"Sir John Hayes","Ind 1, C Mkt 2.0 (No)","Undirected"
"Norman Lamb","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Sir Oliver Letwin","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Paul Farrelly","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Ian Murray","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"John McDonnell","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Chris Ruane","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Melanie Onn","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mr Steve Reed","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Stephen Pound","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Stephen Twigg","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mr Edward Vaizey","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Dame Caroline Spelman","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Karl Turner","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Colleen Fletcher","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mary Glindon","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mr Roger Godsiff","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mr George Howarth","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mr Jim Cunningham","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Hilary Benn","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Nick Boles","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"John Cryer","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Richard Burgon","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mr Clive Betts","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Jenny Chapman","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Tom Watson","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Damian Collins","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Richard Benyon","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Dr Roberta Blackman-Woods","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Stephen Crabb","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Steve Brine","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mr Adrian Bailey","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Vicky Ford","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Alberto Costa","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Jonathan Ashworth","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Ian Austin","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Antoinette Sandbach","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Alex Cunningham","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Alistair Burt","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"James Frith","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mike Kane","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Stephen Kinnock","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mrs Sharon Hodgson","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Margot James","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Karin Smyth","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Naz Shah","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Cat Smith","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Liz Saville Roberts","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mr Paul Sweeney","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Jeremy Lefroy","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Nick Herbert","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mohammad Yasin","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Mr Virendra Sharma","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Valerie Vaz","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Shabana Mahmood","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Paul Masterton","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Steve McCabe","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Lisa Nandy","Ind 1, C Mkt 2.0 (Aye)","Undirected"
"Angela Crawley","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr Barry Sheerman","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr Khalid Mahmood","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Alison McGovern","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Stephen Morgan","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Stephen Lloyd","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Sir Oliver Letwin","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Ian Murray","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Karen Lee","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Patricia Gibson","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Dr Roberta Blackman-Woods","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Deidre Brock","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr Edward Vaizey","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Joanna Cherry","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Tracy Brabin","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Ms Karen Buck","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Richard Burden","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Damian Collins","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Julie Cooper","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Kirsty Blackman","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Margaret Beckett","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Bambos Charalambous","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Jon Cruddas","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Justin Madders","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Judith Cummins","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr Adrian Bailey","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr Ben Bradshaw","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Hannah Bardell","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mhairi Black","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Jack Dromey","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Tim Farron","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Marion Fellows","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr Jonathan Djanogly","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Clive Efford","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Holly Lynch","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Chris Evans","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Wayne David","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Maria Eagle","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Gill Furniss","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Ms Angela Eagle","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Thangam Debbonaire","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Jonathan Edwards","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Martin Docherty-Hughes","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Diana Johnson","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Louise Haigh","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Lesley Laird","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Fabian Hamilton","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Ms Harriet Harman","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"John Grogan","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Stephen Gethins","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr George Howarth","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Emma Hardy","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Hugh Gaffney","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Stephen Kerr","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Peter Grant","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Margaret Greenwood","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Rebecca Long Bailey","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Robert Halfon","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Afzal Khan","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr Roger Godsiff","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Kate Hollern","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Luke Pollard","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Fiona Onasanya","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Dr Rupa Huq","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"John Healey","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Kate Green","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Imran Hussain","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Chris Law","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Helen Goodman","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Ian Austin","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Rushanara Ali","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Bim Afolami","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Neil Coyle","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Paul Blomfield","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Jeremy Corbyn","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Dr Rosena Allin-Khan","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr Paul Sweeney","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Danielle Rowley","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Jessica Morden","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Jon Trickett","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Emma Reynolds","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Brendan O'Hara","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr Virendra Sharma","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Sir Mark Hendrick","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Gerald Jones","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Richard Harrington","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Drew Hendry","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Naz Shah","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Gareth Thomas","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Ian C. Lucas","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"David Tredinnick","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Dame Caroline Spelman","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Martin Whitfield","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Stephen Timms","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Pete Wishart","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Albert Owen","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Stephen Pound","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Matthew Pennycook","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Christina Rees","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Chris Ruane","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Ian Mearns","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Alex Norris","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Gavin Newlands","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"John Penrose","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mark Pawsey","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Melanie Onn","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Rachel Reeves","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Jonathan Reynolds","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Yvette Cooper","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Stella Creasy","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Ms Diane Abbott","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Dawn Butler","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Christian Matheson","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Lyn Brown","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"James Cartlidge","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Alan Brown","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Richard Burgon","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Dan Carden","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr Kenneth Clarke","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Jonathan Ashworth","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Guto Bebb","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Douglas Chapman","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Ian Blackford","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr Ivan Lewis","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Liam Byrne","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"John Cryer","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Alex Cunningham","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Dr Lisa Cameron","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Ronnie Cowan","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Emma Dent Coad","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Vicky Foxcroft","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Marsha De Cordova","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Anneliese Dodds","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Patrick Grady","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Andy McDonald","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Bill Grant","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Stephen Kinnock","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"David Hanson","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Stephen Hammond","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Sue Hayman","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Barry Gardiner","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Barbara Keeley","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Andrew Gwynne","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mike Kane","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Neil Gray","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Stewart Malcolm McDonald","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Kevin Hollinrake","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Carolyn Harris","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Nia Griffith","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mrs Sharon Hodgson","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Peter Kyle","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Keith Vaz","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Liz Twist","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Dr Philippa Whitford","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Jeremy Lefroy","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Dan Jarvis","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Ben Lake","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mary Glindon","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Sarah Jones","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Ruth George","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Simon Hart","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Nick Herbert","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Preet Kaur Gill","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Yasmin Qureshi","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Conor McGinn","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"John McDonnell","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Andy Slaughter","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Norman Lamb","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Phil Wilson","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Dr Alan Whitehead","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Alex Sobel","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Antoinette Sandbach","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Kevin Brennan","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Richard Benyon","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Vernon Coaker","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Hilary Benn","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Stuart C. McDonald","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Mr Pat McFadden","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Edward Miliband","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Teresa Pearce","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Nicky Morgan","Ind 2, C Mkt 2.0 (Aye)","Undirected"
"Andrew Bridgen","Ind 2, C Mkt 2.0 (No)","Undirected"
"Alex Burghart","Ind 2, C Mkt 2.0 (No)","Undirected"
"Sir Peter Bottomley","Ind 2, C Mkt 2.0 (No)","Undirected"
"Ann Coffey","Ind 2, C Mkt 2.0 (No)","Undirected"
"Sir Kevin Barron","Ind 2, C Mkt 2.0 (No)","Undirected"
